id	name	followers	popularity	genres
6fvN9GmMCVKb5LY0WsnjFP	Nazareth	964335	63	['album rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'metal', 'rock']
7uG1pvcReIxuBhvpabjdom	The Lonely Wild	2654	22	['la indie', 'stomp and flutter']
53YkKjHFfjYq6dtcLiQ8NO	A House	4060	26	['irish rock']
2Ok3xCNSCDvqOQJ6RaQlOH	Tapiola Choir	1300	23	['finnish choir']
4PcLkq6IefIYiRWLXOfwKA	Porter Wagoner	15946	49	['country gospel', 'nashville sound']
5sM4cZ9MHihs0tbmkiE9n8	Jamie Berry	57870	54	['electro swing', 'nu jazz']
20fwGjw7IpBUMzxjb3gvET	Brian Finnegan	8851	34	['celtic', 'irish folk', 'irish neo-traditional']
6p9Qy71KocWwjmpUcHUTda	Rebirth Brass Band	47881	42	['brass band', 'new orleans jazz', 'second line', 'street band']
2CvCyf1gEVhI0mX6aFXmVI	Paul Simon	1671351	73	['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']
0GjpCwxz0C042nPj6K8KyI	Dave Attell	29010	37	['comedy']
3pbfHgFHAngmFcmZeeIDPY	Elvine Harley	32	37	[]
6Ai5P2C9QMMD4KZ3scLzKa	stereo storm	6	47	[]
3ObYhqbnVWAb1afotoMJTu	THØR	9	32	[]
2glaJzU6VwtGLSo777oyiM	Sons Of The James	1395	33	['indie jazz']
4cFizl8RUZEfXnkzw1Fiz6	Fame	3876	31	[]
2LIk90788K0zvyj2JJVwkJ	Jack Harlow	1074379	90	['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']
3seAlZdPsUKKveZltRG7wi	Greg Puciato	17055	37	['electronic rock']
5l3UmzjFGoGXxOwJJhfm2D	Walter	203	41	[]
5U4BDAMefQlcNIp9OaEbQa	New Sounds Of Nature	13	44	['rain']
0CqDqmyIQ9VQHQp52OEbB0	Unspoken	163784	56	['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']
0CcUeegrB22XBY0yaN6N6b	Sterling A. Brown	17	1	[]
53k1kqkyCUpbJMK93MBxxc	Jonas Gewald	324	52	[]
05CcaJpimKkGG7ZOz2zVNN	Viktoria Postnikova	225	13	['russian classical piano']
0Zoe6ljAJo85rggnN6OaOF	92914	129060	55	['chill pop', 'chill r&b', 'korean indie folk']
7mYdzBqQUa1hb8jdRmMpfE	Mingo Fishtrap	13145	34	['modern funk']
3FEd0qHPFOgcpfw7bCXB4x	Zubin Mehta	21568	62	['classical performance', 'orchestral performance']
5nXldeedEas60jZnMi40p4	Cynic	84179	38	['death metal', 'djent', 'florida death metal', 'jazz metal', 'miami metal', 'progressive metal', 'technical death metal']
5PRA0OKBevyPE3RvPntvUK	Per Henderak Haetta	119	2	['yoik']
7uFje8Q60Ydw3sjBkZsO3W	Tatton Sage	0	48	['instrumental lullaby']
7rGueFaPcsm0FFAt9J7WYJ	NT89	880	14	[]
26BPVK55HCqiBNb32TXfBf	Loyal Lobos	4260	30	['latinx alternative']
3WVgChZY3rEyeHd3aljzNl	John P. Kee	180168	51	['gospel']
54lm5ZFrkSjjKvblBlaWnq	John Hudson	42	23	[]
57ut70dPEUxC1dk83YY3hY	Dame Joan Sutherland	15273	48	['classical soprano', 'opera']
0r7PWrlVyLmVXZ3s3l9AQK	Antonino Fogliani	50	20	[]
5HGksnSVY91s4g1SOHHACw	Alessandro Scarlatti	27652	41	['baroque', 'classical', 'early music', 'italian baroque', 'italian opera']
15PcygUDr0j5LvDA23i5BG	Cam Wallace	1808	41	[]
2KbikmQKGiUPR2ARs1h0sq	Gilli	173462	70	['danish hip hop', 'danish pop']
03lPYuQmwUUUtR1dNLjgoc	Mark Ralph	183	52	[]
12UDBDloFqPiY6F8qi9VwP	Julian Rolton	18	9	[]
1LqshAgbw4iC1QlZSSR4qv	Anna Mae	3638	35	['indie electropop']
5Ws3s6lSP4Un8kQf8CrAta	Susan Tedeschi	130574	52	['blues', 'blues rock', 'country rock', 'electric blues', 'modern blues']
4JtkohAXx2ht3atEMrPSVr	Heidi Shepherd of Butcher Babies	16	28	[]
1P8IfcNKwrkQP5xJWuhaOC	LL Cool J	1165195	67	['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']
68kEuyFKyqrdQQLLsmiatm	Vince Staples	1399770	76	['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']
4AR9DghWVyZK6ylUPb8mLI	Flanders & Swann	4791	26	['british comedy', 'comic']
2iAb3BfKnswIVev8Z9BpR3	Mixtus	0	0	[]
0fSj8MxxUSzY9fBNRmmuWU	Gabriella Montez	1763	56	[]
4BX7bOS5nj3842rKfEnTIg	Ryan Leahan	10903	47	['philly indie']
1P3aWqFIk6jRJ2IpxlHvGy	India Carney	6884	44	[]
