playlist_id	playlist_name	playlist_description	playlist_num_tracks	playlist_num_followers
37i9dQZF1DWYtQSOiZF6hj	Happy Birthday	Great songs for your birthday! Let's celebrate!	34	187403
6PzNMpCPMDMo1pOUjNhDUC	Kids B-day Party	The perfect playlist for a great party. Fun, happy, joyful... the kids will love it!	45	31547
2mADaSxlIcxRDSG9e9vLlh	Walk The Dog	Songs for you and your best friend. Endless love in any weather.	35	1385
0uZg7go8TKu5hpv1L6CJ4y	Tagga För OS	Samla dina vänner och ladda inför de Olypiska Spelen. Nu kör vi!	51	50
5wPUMOWXlhmk9XmGO4RtKz	Commuter Flow (That Fire For Your Aux Cord)	Some nice little jams to make the ride smooth. To quote Dom Kennedy &quot;Pleeze Make It Home Safe&quot; (also closing song).	40	38169
37i9dQZF1DWWiDhnQ2IIru	70s Road Trip	Hit the road to the soundtrack of these seventies classics.	100	2399331
1cddSHoeIrE3m0i8TqYNbn	Annorlunda Kärlekslåtar		75	15
5Dn14a8hNIhT3NLLjUUBGL	Fuck Valentine!		74	42
1apRF10Iufr0NBBiF1u7E5	Valentine anger		38	22
7qeSmszUjRBWOwHzlxfEXt	Det är så tråkigt och trist utan dig		26	31
2PMlGn5a2jxukdhCYQyQvG	Inget är större än KÄRLEKEN		23	23
3cC0Hnr7idCemR4JxOh2lI	Folk & Rock 200 favoriter	Borlängeprofilen Ingemar Magnusson, som till vardags driver skivbutiken Folk å Rock, listar sina 200 favoritlåtar. Hitta spellistor för alla tillfällen på <a href="spotify:app:tunigo">Tunigo</a>	200	71
24HEIuw8etbkitpDCxZ1dQ	The Critics Choice 2012	A playlist with songs from the best reviewed albums in Sweden 2012.	61	2605
0NYlvGXveeyvhb5G80LPtA	EM Fotboll 2012	Älskade fotbollslåtar, samlade i en spellista. Officiella mästerskapslåtar, varvat med inofficiella hyllningar och storslagna arenahymner. Hitta spellistor för alla tillfällen på <a href="spotify:app:tunigo">Tunigo</a>	33	163
2IBmQa3jJULanJldYav1jW	Way Out West 2013		18	33
3PNltrHQaYdqO0FdTAZ3wB	Sweden Rock 2013		60	20
7LxjY6mdINPgSVhILU2nk6	Metaltown 2013		22	26
0pTJgTL7GIhxto5z35Rfwu	Hultsfred 2013		39	13
3JqYduMX06DjhsJRBG4kN5	Putte i Parken 2013		11	9
4ftQXs8PU4QMqPLMaJG7QT	Getaway Rock 2013		29	20
74Wbo0ObpdSDnCIGvEDHOk	Bråvalla Festival 2013		41	14
5Q9dGaDLzwijaWkI4yFfSk	Peace & Love 2013		45	23
2fC7gpl3V9MmCc8gBPHc66	Sonisphere		851	21
6ClBNzH2PMh2jvkEuSFBFJ	Gainsville Stockholm 2012		10	14
0DH66SG2vZ7dIocTxxA5q9	Ystad Sweden Jazzfestival 2012	Ystad Jazzfestival arrangeras i sommar för tredje gången. 2012 års festival går av stapeln den 2:a augusti och pågår t.o.m. den 5:e. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	32	19
2XQnLAZo27gz7VGRBl34l9	Storsjöyran 2012	Storsjöyran är Sveriges äldsta stadsfestival, grundad 1963. Sommarens festival arrangeras 27 - 28 juli i Östersund. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	61	24
4muFXNJjmJvLWdHmx0PKYO	Emmaboda 2012	Emmabodafestivalen har sedan arrangerats sedan 1988 av den ideella föreningen Vinterbadarna. Sommarens festival arrangeras 25 - 28 juli. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	48	36
6lrsZHHFL65pjpDcjv6sFi	Stockholm Music & Arts 2012	Stockholm Music & Arts är en ny festival som i sommar, den 3 - 5 augusti, arrangeras för första gången. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	32	35
0mJut6QO3dUUAOJlBPujT1	Popaganda 2012	Popaganda jubilerar, då festivalen nu fyller 10 år. Sommarens upplaga arrangeras vid Eriksdalsbadet i Stockholm, den 24 - 25 augusti. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	22	22
6cSO5pHOCQxoEiXYDPa3Uq	Metaltown 2012	Metaltown är en av Sveriges största och mest populära hårdrock/metal-festivaler. Årets festival äger rum den 15 - 16 juni i Göteborg. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	45	40
7b1rMSnmiYfj8nH8spIjxF	Urkult 2012	Första helgen i augusti går folk- och världsmusikfestivalen Urkult av stapeln för 18:e året i rad. 2 - 4 augusti är datumen för sommarens upplaga. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	18	21
2xxkK8eaOyM6JRhHOheZBZ	Sweden Rock Festival 2012	Sweden Rock är Sveriges största hårdrocksfestival. Sommarens upplaga äger rum 6 - 9 juni i Sölvesborg. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	75	50
26yS4HN010lrCBBlCbjF2b	Hultsfred 2012	Hultsfredsfestivalen 2012 går av stapeln den 14:e juni och pågår t.om. den 16:e. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	93	30
5eRHTcvWyEU0MEzNOiR2j1	Putte i parken 2012	Putte i Parken arrangeras i år för femte året i rad. Sommarens festival går av stapeln den 4 - 7 juli i Karlstad. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	79	29
